,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,Pagos en dólares,¿Tenés hijos/as menores de edad?,¿Qué tipo de cuarentena hiciste / estás haciendo?,¿Qué tanto sentís que te está apoyando tu empresa/organización en esta situación?,Trabajo para una empresa que no tiene oficina en mi ciudad,¿Cómo venís llevando la pandemia?,Valor dólar informal semestral
0,0,,,0,0.0,1.0,0.0,0,0.0,15.46
1,0,,,0,0.0,1.0,0.0,0,0.0,15.46
2,0,,,0,0.0,1.0,0.0,0,0.0,15.46
3,0,,,0,0.0,1.0,0.0,0,0.0,15.46
4,0,,,0,0.0,1.0,0.0,0,0.0,15.46
5,0,,,0,0.0,1.0,0.0,0,0.0,15.46
6,0,,,0,0.0,1.0,0.0,0,0.0,15.46
7,0,,,0,0.0,1.0,0.0,0,0.0,15.46
8,0,,,0,0.0,1.0,0.0,0,0.0,15.46
9,0,,,0,0.0,1.0,0.0,0,0.0,15.46
10,0,,,0,0.0,1.0,0.0,0,0.0,15.46
11,0,,,0,0.0,1.0,0.0,0,0.0,15.46
12,0,,,0,0.0,1.0,0.0,0,0.0,15.46
13,0,,,0,0.0,1.0,0.0,0,0.0,15.46
14,0,,,0,0.0,1.0,0.0,0,0.0,15.46
15,0,,,0,0.0,1.0,0.0,0,0.0,15.46
16,0,,,0,0.0,1.0,0.0,0,0.0,15.46
17,0,,,0,0.0,1.0,0.0,0,0.0,15.46
18,0,,,0,0.0,1.0,0.0,0,0.0,15.46
19,0,,,0,0.0,1.0,0.0,0,0.0,15.46
20,0,,,0,0.0,1.0,0.0,0,0.0,15.46
21,0,,,0,0.0,1.0,0.0,0,0.0,15.46
22,0,,,0,0.0,1.0,0.0,0,0.0,15.46
23,0,,,0,0.0,1.0,0.0,0,0.0,15.46
24,0,,,0,0.0,1.0,0.0,0,0.0,15.46
25,0,,,0,0.0,1.0,0.0,0,0.0,15.46
26,0,,,0,0.0,1.0,0.0,0,0.0,15.46
27,0,,,0,0.0,1.0,0.0,0,0.0,15.46
28,0,,,0,0.0,1.0,0.0,0,0.0,15.46
29,0,,,0,0.0,1.0,0.0,0,0.0,15.46
30,0,,,0,0.0,1.0,0.0,0,0.0,15.46
31,0,,,0,0.0,1.0,0.0,0,0.0,15.46
32,0,,,0,0.0,1.0,0.0,0,0.0,15.46
33,0,,,0,0.0,1.0,0.0,0,0.0,15.46
34,0,,,0,0.0,1.0,0.0,0,0.0,15.46
35,0,,,0,0.0,1.0,0.0,0,0.0,15.46
36,0,,,0,0.0,1.0,0.0,0,0.0,15.46
37,0,,,0,0.0,1.0,0.0,0,0.0,15.46
38,0,,,0,0.0,1.0,0.0,0,0.0,15.46
39,0,,,0,0.0,1.0,0.0,0,0.0,15.46
40,0,,,0,0.0,1.0,0.0,0,0.0,15.46
41,0,,,0,0.0,1.0,0.0,0,0.0,15.46
42,0,,,0,0.0,1.0,0.0,0,0.0,15.46
43,0,,,0,0.0,1.0,0.0,0,0.0,15.46
44,0,,,0,0.0,1.0,0.0,0,0.0,15.46
45,0,,,0,0.0,1.0,0.0,0,0.0,15.46
46,0,,,0,0.0,1.0,0.0,0,0.0,15.46
47,0,,,0,0.0,1.0,0.0,0,0.0,15.46
48,0,,,0,0.0,1.0,0.0,0,0.0,15.46
49,0,,,0,0.0,1.0,0.0,0,0.0,15.46
50,0,,,0,0.0,1.0,0.0,0,0.0,15.46
51,0,,,0,0.0,1.0,0.0,0,0.0,15.46
52,0,,,0,0.0,1.0,0.0,0,0.0,15.46
53,0,,,0,0.0,1.0,0.0,0,0.0,15.46
54,0,,,0,0.0,1.0,0.0,0,0.0,15.46
55,0,,,0,0.0,1.0,0.0,0,0.0,15.46
56,0,,,0,0.0,1.0,0.0,0,0.0,15.46
57,0,,,0,0.0,1.0,0.0,0,0.0,15.46
58,0,,,0,0.0,1.0,0.0,0,0.0,15.46
59,0,,,0,0.0,1.0,0.0,0,0.0,15.46
60,0,,,0,0.0,1.0,0.0,0,0.0,15.46
61,0,,,0,0.0,1.0,0.0,0,0.0,15.46
62,0,,,0,0.0,1.0,0.0,0,0.0,15.46
63,0,,,0,0.0,1.0,0.0,0,0.0,15.46
64,0,,,0,0.0,1.0,0.0,0,0.0,15.46
65,0,,,0,0.0,1.0,0.0,0,0.0,15.46
66,0,,,0,0.0,1.0,0.0,0,0.0,15.46
67,0,,,0,0.0,1.0,0.0,0,0.0,15.46
68,0,,,0,0.0,1.0,0.0,0,0.0,15.46
69,0,,,0,0.0,1.0,0.0,0,0.0,15.46
70,0,,,0,0.0,1.0,0.0,0,0.0,15.46
71,0,,,0,0.0,1.0,0.0,0,0.0,15.46
72,0,,,0,0.0,1.0,0.0,0,0.0,15.46
73,0,,,0,0.0,1.0,0.0,0,0.0,15.46
74,0,,,0,0.0,1.0,0.0,0,0.0,15.46
75,0,,,0,0.0,1.0,0.0,0,0.0,15.46
76,0,,,0,0.0,1.0,0.0,0,0.0,15.46
77,0,,,0,0.0,1.0,0.0,0,0.0,15.46
78,0,,,0,0.0,1.0,0.0,0,0.0,15.46
79,0,,,0,0.0,1.0,0.0,0,0.0,15.46
80,0,,,0,0.0,1.0,0.0,0,0.0,15.46
81,0,,,0,0.0,1.0,0.0,0,0.0,15.46
82,0,,,0,0.0,1.0,0.0,0,0.0,15.46
83,0,,,0,0.0,1.0,0.0,0,0.0,15.46
84,0,,,0,0.0,1.0,0.0,0,0.0,15.46
85,0,,,0,0.0,1.0,0.0,0,0.0,15.46
86,0,,,0,0.0,1.0,0.0,0,0.0,15.46
87,0,,,0,0.0,1.0,0.0,0,0.0,15.46
88,0,,,0,0.0,1.0,0.0,0,0.0,15.46
89,0,,,0,0.0,1.0,0.0,0,0.0,15.46
90,0,,,0,0.0,1.0,0.0,0,0.0,15.46
91,0,,,0,0.0,1.0,0.0,0,0.0,15.46
92,0,,,0,0.0,1.0,0.0,0,0.0,15.46
93,0,,,0,0.0,1.0,0.0,0,0.0,15.46
